"idterreno";"codterreno";"cite";"manzano";"lote";"precio_contado";"precio_credito";"coddepartamento";"codprovincia";"directerreno";"status";"anio";"fechaterreno"
"1";"T1";"01/21T";"7";"12";"5000.00";"7800.00";"0";"0";;"1";"2021";"2022-01-22"
"2";"T2";"02/21T";"6";"18";"6800.00";"12500.00";"0";"0";;"1";"2021";"2022-01-22"
